Gene Start,Gene End,Genome Start,Genome End
899,1079,111792598,111792785
1078,1248,111798072,111798242
1247,1407,111799904,111800064
218,361,111783156,111783299
552,682,111790433,111790563
1406,1523,111803858,111803975
680,795,111791304,111791419
1,114,111766983,111767096
440,552,111789822,111789934
113,220,111781916,111782023
794,898,111792059,111792163
360,444,111785266,111785350
1522,1554,111809543,111809575
